"gene_symbol","log2FoldChange_HTF_vs_WTF","log2FoldChange_KOM_vs_WTM","log2FoldChange_KOM_vs_HTF","log2FoldChange_WTM_vs_WTF","expressed_allele","allele_status"
"Pon2_JF1",0.00532209420513472,-0.00597820622038968,-0.0289860756877074,0.00558709794263472,"Maternal","imprinted"
"Pon3_129",-0.00250702320973498,-0.10175190743358,-0.029050811273873,-0.000439867542370062,"Maternal","active"
"Pon3_JF1",-0.00231784977701324,-0.0207899227749108,-0.00384366552226123,-0.000820999881975399,"Maternal","imprinted"
"Ppp1r9a_129",0.00151544010582018,0.0429844368591105,-0.0301061127585623,-0.000224200490967954,"Maternal","active"
"Ppp1r9a_JF1",0.000481627907777641,0.0143563242197427,-0.00995188078149748,-0.00010401854363514,"Maternal","imprinted"
"Prkn_129",0.00115710324579323,0.00743522168974879,0.0115465690790439,0.00654637641322919,"Maternal","active"
"Prkn_JF1",-0.000139560962382287,-0.0156377067797562,-0.00245215323920396,0.00112784255742586,"Maternal","imprinted"
"Qpct_129",-0.000401299453218873,0.00520862686261443,0.0234401936610829,0.000648505870032995,"Maternal","active"
"Qpct_JF1",-0.00146617557691358,0.00518291495208805,0.0119562460183352,-0.00183493485141948,"Maternal","imprinted"
"Rasgrf1_129",0.00135196615996012,0.0156528607164999,0.0216012186106471,0.00243859284842326,"Paternal ",NA
"Rasgrf1_JF1",0.00015947092071665,0.00695153083849614,0.0179355475757524,0.000364779599832789,"Paternal ",NA
"Rian_129",0.00120987013580669,-0.188047765860498,-1.3529269675441,0.00650610945387434,"Maternal","active"
"Sall1_129",0.000397897673988792,-0.00130749159922224,-0.0116461806077476,-0.00296731287921106,"Paternal","imprinted"
"Sall1_JF1",-0.00152208465558626,-0.00931517906134988,0.011408482839511,0.000314997964169706,"Paternal","active"
"Sfmbt2_129",-0.00125827678871705,0.00296321217429567,0.0344149993716904,0.00265163818779378,"Paternal","imprinted"
"Sfmbt2_JF1",0.000954050735699767,0.0133725285476463,-0.0184805173541555,-0.00154246916505529,"Paternal","active"
"Sgce_129",0.000357166528590185,NA,-0.00188899324100112,-0.0111905155564052,"Paternal","imprinted"
"Sgce_JF1",0.00119788436233518,-0.0254221296756056,-0.0658937534741009,-6.73256109302365e-06,"Paternal","active"
"Slc38a4_129",0.00307017765579385,0.00479183348514493,-0.0175954404766174,0.0014286796174603,"Paternal","imprinted"
"Slc38a4_JF1",-0.000159407394060089,-0.00544987674728476,-0.0162103934156425,-0.00285172065246268,"Paternal","active"
"Smoc1_129",0.00120102519437272,0.0188642032084381,0.00862362382982326,0.000891781517857989,"Paternal","imprinted"
"Smoc1_JF1",0.00169179393448429,0.0318821506851591,0.00249480240545356,-0.00304477577601691,"Paternal","active"
"Smoc2_129",-0.00199799295219955,0.000218994856667747,0.0166551027860316,-0.00124803580834472,"Maternal","active"
"Smoc2_JF1",-0.000844474397756503,-0.000477966574481296,0.0096914049757778,-7.23096206026823e-05,"Maternal","imprinted"
"Snrpn_129",0.000688125998772206,NA,0.000344044398558375,-0.00338384013289472,"Paternal","imprinted"
"Snrpn_JF1",0.000153152823041898,-0.0028673620534695,-0.00810756089671624,-0.000544398868175411,"Paternal","active"
"Snx14_129",0.000389799782906804,0.0352088000516447,-0.0781903189618736,-0.0299047456713879,"Paternal","imprinted"
"Snx14_JF1",-0.000774610187429972,-0.069041240492284,-0.0087208410514657,0.00136476543876088,"Paternal","active"
"Th_129",-0.00177373915999576,0.00032232622679391,0.00708828817798717,-0.00640551471701732,"Maternal","active"
"Thbs2_129",-0.00154899943486936,-0.0671380621903298,-0.00455497200534503,0.00986934724188365,"Maternal","active"
"Thbs2_JF1",-0.0023848077546756,-0.0308782377066624,-0.00264545406213569,0.000997142628148897,"Maternal","imprinted"
"Tnfrsf22_129",-0.00533179275728552,-0.0306434882753065,0.00147007694841219,-0.00120841382433021,"Maternal","active"
"Tnfrsf22_JF1",0.00234348421164488,0.000795233422494007,-0.00915518040471295,0.00411674126177361,"Maternal","imprinted"
"Trappc9_129",-0.000909629319767145,0.0110637166985169,0.0285793748235634,-0.000111359980040297,"Maternal","active"
