"gene_symbol","log2FC_HTF_vs_WTF","padj_HTF_vs_WTF","log2FC_KOM_vs_WTM","padj_KOM_vs_WTM","log2FC_KOM_vs_HTF","padj_KOM_vs_HTF","log2FC_WTM_vs_WTF","padj_WTM_vs_WTF","expressed_allele","allele_status"
"Igf2_JF1",-0.00185264419050495,1,-0.0172190625621828,0.723820349611535,-0.00433552293762037,0.994799281013691,0.000373171099318609,1,"Paternal","active"
"Igf2r_129",-0.0222904495546131,0.691688298170188,-0.031099925637198,0.884449354251632,-0.00541516410864081,1,-0.00365062411713519,1,"Maternal","active"
"Igf2r_JF1",0.00037417218628137,1,-0.00500287678937731,0.994768326309638,-0.00163213057541887,1,0.000640159790477511,1,"Maternal","imprinted"
"Impact_129",0.000642946864991699,1,0.00108864222064902,1,-0.0308654376613511,0.858703495921211,-0.000707932857861065,1,"Paternal","imprinted"
"Impact_JF1",0.0115651442798113,0.906272192453814,0.119708699131366,0.274961745445256,-0.00258345161311297,1,-0.000549464706256014,1,"Paternal","active"
"Inpp5f_129",-0.00541518707440628,1,0.0267042367927248,0.878775216198616,0.0655093206440748,0.521945645298374,-0.0015618215095631,1,"Paternal","imprinted"
"Inpp5f_JF1",0.00527640453597336,1,-0.345187449297315,0.0286968087849599,-0.446226847992265,0.0107241489156774,0.00942184471021117,0.956420823841415,"Paternal","active"
"Jade1_129",0.00113130307649304,1,0.0400117822977202,0.793626997343772,-0.00695237853190326,0.995914032177077,-0.000966622648341896,1,"Paternal","imprinted"
"Jade1_JF1",0.000402307825407943,1,0.027290419871502,0.886354257589912,0.0164988916658003,0.964807213271386,5.87951154503749e-05,1,"Paternal","active"
"Jpx_129",0.000459975883251021,1,0.0160860592371581,0.944538628640914,0.757933956734785,0.000432964870918054,0.782009767439727,0.00106898914566057,"Paternal","imprinted"
"Jpx_JF1",0.00073789904987135,1,0,1,-9.13747347077591,1.06107711716733e-11,-9.17755747976858,7.36602421963487e-12,"Paternal","active"
"Kcnk9_129",0.00356122993676241,1,0.0283623393233929,0.830391703783048,-0.0230663424004278,0.889315916152843,-0.00219616612513962,1,"Maternal","active"
"Kcnk9_JF1",0.000426586653192693,1,0.00389153176564912,0.986390949174892,0.004387514804148,0.995914032177077,0.00197971282929367,1,"Maternal","imprinted"
"Kcnq1ot1_129",-0.00194890417864548,1,0.0428339672758513,0.514992114998342,0.0126192328897328,0.946040859776476,-0.245351300242721,0.507454226589102,"Paternal","imprinted"
