Gene_Allele,KO_M1,WT_M3,KO_M2,WT_F1,HT_F1,HT_F2,KO_M3,WT_M1,WT_M2,HT_F3,WT_F2,WT_F3,Allele_Source,Gene,Status,Expressed_Allele
Tfpi2_129,0,1,3,3,1,1,2,5,5,3,3,3,Maternal,Tfpi2,Imprinted,Maternal
Tfpi2_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Tfpi2,Imprinted,Maternal
Th_129,15,6,22,71,40,8,14,21,44,9,6,19,Maternal,Th,Imprinted,Maternal
Th_JF1,0,0,0,0,61,0,0,0,0,0,0,0,Paternal,Th,Imprinted,Maternal
Thbs2_129,92,250,72,425,278,207,240,455,513,106,101,236,Maternal,Thbs2,Imprinted,Maternal
Thbs2_JF1,261,322,127,605,519,178,123,477,520,172,134,499,Paternal,Thbs2,Imprinted,Maternal
Tnfrsf22_129,31,57,38,107,45,68,52,90,91,34,52,99,Maternal,Tnfrsf22,Imprinted,Maternal
Tnfrsf22_JF1,12,0,21,0,105,0,0,0,48,34,19,0,Paternal,Tnfrsf22,Imprinted,Maternal
Tnfrsf23_129,6,14,12,27,49,17,11,23,33,14,30,18,Maternal,Tnfrsf23,Imprinted,Maternal
Tnfrsf23_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Tnfrsf23,Imprinted,Maternal
Tnfrsf26_129,0,2,1,2,2,1,0,1,1,0,1,0,Maternal,Tnfrsf26,Imprinted,Maternal
Tnfrsf26_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Tnfrsf26,Imprinted,Maternal
Trappc9_129,1012,1120,1521,1624,2596,1392,1554,1280,2476,978,1243,1773,Maternal,Trappc9,Imprinted,Maternal
Trappc9_JF1,4144,3414,4800,4652,7925,4559,4929,4607,7905,4488,4416,5399,Paternal,Trappc9,Imprinted,Maternal
Tsix_129,6,29,12,71,92,24,12,61,60,48,23,51,Maternal,Tsix,Imprinted,Maternal
Tsix_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Tsix,Imprinted,Maternal
Tssc4_129,550,552,446,606,1001,513,705,484,840,402,573,631,Maternal,Tssc4,Imprinted,Maternal
Tssc4_JF1,649,264,517,637,925,540,512,554,729,562,444,631,Paternal,Tssc4,Imprinted,Maternal
Ube3a_129,6356,8592,12587,11421,20929,12201,13282,11469,18968,12512,11333,12598,Maternal,Ube3a,Imprinted,Maternal
Ube3a_JF1,5072,7010,10789,12660,17122,9565,11722,13921,17101,11768,10411,15266,Paternal,Ube3a,Imprinted,Maternal
Usp29_129,253,150,317,286,637,189,250,219,750,270,219,480,Maternal,Usp29,Imprinted,Paternal
Usp29_JF1,2028,2243,4390,4030,11593,2765,3745,3282,5587,3519,3071,3962,Paternal,Usp29,Imprinted,Paternal
Wt1_129,0,0,0,0,1,3,0,2,1,1,1,1,Maternal,Wt1,Tissue Dependent,Maternal
Wt1_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Wt1,Tissue Dependent,Maternal
Xist_129,1,4,0,24001,33513,23390,32,61,3,19681,20439,30655,Maternal,Xist,Imprinted,Paternal
Xist_JF1,0,0,0,35366,44269,15095,0,0,0,41816,24204,25361,Paternal,Xist,Imprinted,Paternal
Xlr3b_129,62,73,146,68,264,83,240,40,236,239,5,114,Maternal,Xlr3b,Imprinted,Maternal
Xlr3b_JF1,0,0,0,8,3,0,0,0,0,0,0,0,Paternal,Xlr3b,Imprinted,Maternal
Zdbf2_129,3,3,13,2,12,0,0,2,0,9,10,0,Maternal,Zdbf2,Imprinted,Paternal
Zdbf2_JF1,3348,1560,4369,2968,10884,2779,3759,2393,3672,2423,2782,3961,Paternal,Zdbf2,Imprinted,Paternal
Zfp64_129,184,257,352,387,592,356,321,301,492,331,204,373,Maternal,Zfp64,Imprinted,Paternal
