Gene_Name,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
Hap1_JF1,2436.270193263652,4451.665592882202,3813.7447004985397,4144.668892361552,3401.7774274287312,4990.916982929206,9032.246848758776,5807.430161464756,2577.553356024536,8618.910688586606,5933.398269240522,4988.743780524037
Hapln1_129,1507.7514457712923,1628.514057201525,1518.448444523818,1078.4743969051513,1738.6611843205515,1590.415447024976,1218.9160452836782,1657.1247723405422,1608.1898867428054,717.6170195339485,1574.8105257481043,1513.8325992645143
Hapln1_JF1,2173.3354173279886,2320.3535639691218,1899.1179710061122,1553.653275683396,2472.6874041601613,2096.5366058572336,1675.6299795404425,2222.3456249218125,2059.500092113316,1079.4281109726128,2118.319899454226,2195.2073514780864
Hapln2_129,524.899312845733,343.95057072696454,366.5706551310981,623.3734989203533,454.3971837102349,338.2927884555888,305.48817677014955,266.55301570593997,328.418224565395,687.5912028170468,362.6900075988625,282.15518373601657
Hapln2_JF1,424.96469320966924,246.8042263231654,345.422348104304,495.2568595716918,310.072519901525,231.09351523070092,259.3309174569659,194.8299150943015,266.97223416283725,357.3072189311291,249.15226608965335,245.13482274937607
Hapln3_129,39.779800049306935,18.37903813044849,33.83729124287059,40.15596158689393,38.33623882418855,40.419398101187234,41.905932797495666,35.32630328632939,29.66358157364858,94.58132265824007,35.743363067713986,28.015408314214408
Hapln3_JF1,0,27.56855719567273,0,0,0,21.967064185427844,43.727929875647646,48.17223175408553,0,78.06712346394418,40.99973998943663,48.026414252938984
Hapln4_129,9036.806284371825,8426.78898281063,8501.619424771237,7442.238214104341,9542.340857914933,6531.247523611407,5749.615446288281,6436.880656384807,8433.99188956487,8246.590561297027,6550.49691985076,7347.040830402729
Hapln4_JF1,4840.522498682739,5725.070377634704,5234.910932699105,4455.399547498231,5405.409674210586,3801.180786646434,4143.828688076998,3197.5656944322996,5225.028011472672,5386.631519012149,4149.383942007856,4631.547324517804
Harbi1_129,146.50609286452067,152.2834587951446,170.5963433494726,165.4043179650631,187.17104837692057,189.79543456209657,182.80704017458254,158.43311776899242,176.92207581426118,136.61746606190232,197.63977225677144,194.10675760562842
Harbi1_JF1,134.86322455740645,128.65326691313942,126.88984216076473,102.30209261422976,130.7942265766433,58.87173201694662,109.92715704850312,143.44620122327692,139.84259884720046,118.60197603176135,49.40994306419286,144.07924275881697
Hars2_129,554.0064836135185,539.556047972452,640.088759344302,602.3394238034089,608.8696754429947,532.481635854771,579.3950708523313,614.4635783743355,420.5872101692317,731.1286370565541,614.9960998415495,516.2839532190941
